#{"t_start": 1702597504.5211623, "env_id": "ALE/Breakout-v5"}
r,l,t
1.0,205,3313.973647
3.0,254,3333.766851
3.0,305,3369.578442
0.0,308,3404.831478
3.0,573,3469.811
1.0,390,3514.040804
0.0,164,3532.592695
2.0,316,3568.411021
2.0,271,3599.046561
5.0,516,3661.57228
2.0,272,3696.512505
2.0,304,3735.00305
2.0,309,3774.615039
2.0,197,3799.616858
2.0,322,3840.066119
3.0,589,3914.880827
1.0,372,3961.58762
0.0,194,3986.221504
0.0,139,4003.62946
1.0,244,4034.43045
1.0,152,4053.527404
0.0,344,4096.908947
5.0,593,4171.565669
0.0,122,4186.905669
2.0,262,4220.08354
2.0,385,4268.601483
1.0,178,4290.896146
1.0,729,4382.289114
1.0,374,4429.494885
0.0,122,4444.75293
1.0,179,4467.014933
0.0,167,4488.247984
2.0,360,4533.424833
3.0,323,4574.1087
2.0,309,4613.005767
3.0,344,4656.756116
3.0,361,4702.25502
4.0,296,4739.571329
0.0,136,4756.856767
3.0,366,4803.069695
3.0,301,4841.399764
3.0,391,4891.158593
3.0,704,4980.169009
2.0,284,5015.988382
1.0,150,5034.941378
3.0,250,5066.258904
4.0,375,5113.741822
0.0,185,5137.076629
3.0,312,5176.156476
6.0,799,5276.730358
2.0,530,5343.663872
2.0,219,5371.223885
1.0,251,5402.864691
7.0,426,5456.520678
2.0,242,5486.771588
1.0,271,5521.347336
0.0,231,5550.529393
4.0,316,5590.88939
8.0,399,5641.130888
2.0,216,5668.339118
1.0,393,5718.038484
2.0,183,5741.007706
2.0,361,5786.600654
0.0,122,5801.943516
3.0,543,5870.365239
3.0,257,5902.635027
7.0,450,5959.448129
2.0,179,5981.840766
2.0,313,6021.427723
2.0,279,6056.21474
3.0,385,6104.865791
0.0,233,6134.094352
3.0,234,6163.277926
2.0,238,6193.550076
0.0,122,6208.645102
2.0,179,6231.056934
2.0,224,6259.190946
2.0,208,6285.340135
7.0,284,6321.243836
2.0,384,6369.842673
1.0,150,6388.922631
0.0,161,6409.094364
0.0,122,6424.335348
0.0,159,6444.571635
5.0,711,6534.501906
0.0,158,6554.388047
0.0,180,6577.01322
7.0,457,6634.41991
2.0,496,6697.381568
7.0,557,6767.68132
3.0,731,6860.368167
0.0,122,6877.961536
3.0,293,6915.267714
0.0,122,6930.702961
5.0,416,6983.110054
1.0,329,7024.625628
1.0,190,7048.555655
2.0,198,7073.455631
2.0,442,7129.136326
0.0,122,7144.344154
1.0,358,7189.518937
4.0,266,7223.031059
4.0,428,7277.036865
3.0,313,7316.188654
2.0,497,7379.420216
1.0,380,7426.857479
3.0,310,7465.751076
3.0,282,7501.617755
2.0,566,7572.807602
3.0,641,7653.594316
0.0,262,7686.737531
3.0,420,7740.0081
3.0,285,7776.121207
3.0,256,7808.569852
3.0,548,7877.785008
4.0,597,7953.282343
0.0,122,7968.917362
2.0,179,7991.480207
1.0,150,8010.248463
0.0,122,8025.671375
1.0,195,8050.060963
0.0,122,8065.482015
1.0,439,8121.524804
3.0,346,8165.025868
2.0,179,8187.585855
1.0,160,8207.632543
1.0,340,8250.549508
0.0,122,8266.164508
3.0,386,8315.204323
0.0,390,8364.47198
4.0,283,8400.265921
2.0,179,8422.910832
1.0,150,8441.648863
3.0,243,8472.37166
3.0,347,8516.04164
2.0,565,8587.50527
7.0,460,8645.614369
1.0,187,8669.172026
2.0,259,8702.005933
2.0,294,8739.140176
0.0,122,8754.730835
0.0,123,8770.067654
3.0,275,8804.861002
2.0,184,8828.115373
4.0,272,8862.48468
3.0,273,8896.872269
2.0,179,8919.547173
2.0,405,8970.620154
0.0,122,8986.124561
3.0,403,9037.325095
3.0,470,9096.730649
1.0,150,9115.894652
0.0,131,9132.332723
2.0,869,9242.381994
0.0,122,9257.692163
2.0,387,9306.996299
2.0,179,9329.709909
5.0,432,9384.074973
0.0,244,9415.060531
3.0,482,9475.731457
0.0,122,9491.332423
3.0,496,9553.930128
2.0,392,9603.510183
0.0,136,9620.781869
3.0,360,9666.5718
0.0,122,9682.064802
6.0,373,9729.348601
3.0,256,9761.948496
2.0,372,9808.794497
3.0,301,9847.413408
2.0,255,9879.588216
3.0,277,9914.562932
0.0,256,9946.624914
2.0,266,9980.366874
1.0,314,10020.405775
2.0,207,10046.534774
2.0,245,10078.247501
0.0,148,10097.097557
0.0,122,10112.506554
1.0,274,10147.292351
3.0,684,10233.256972
0.0,122,10248.518199
2.0,317,10288.781926
0.0,122,10304.483922
0.0,122,10319.685926
2.0,512,10384.247811
2.0,257,10416.622463
2.0,181,10439.536211
0.0,122,10454.786361
2.0,301,10493.081142
1.0,150,10511.994612
7.0,346,10555.959052
3.0,516,10621.280595
1.0,171,10642.695914
0.0,181,10665.909043
0.0,122,10681.153043
2.0,378,10729.020168
2.0,241,10759.512466
2.0,227,10788.443063
0.0,122,10803.966924
0.0,122,10819.557954
4.0,665,10903.917815
7.0,455,10961.550579
1.0,250,10993.203951
3.0,480,11054.015416
0.0,167,11075.367194
1.0,170,11096.800425
3.0,372,11143.808259
7.0,350,11188.324875
3.0,577,11261.53559
3.0,366,11308.005459
1.0,449,11364.870155
1.0,388,11413.860093
1.0,479,11474.102226
2.0,293,11511.076719
7.0,516,11576.050503
9.0,767,11673.210548
3.0,229,11702.204476
4.0,473,11761.785845
0.0,122,11777.490931
0.0,122,11792.799745
0.0,122,11808.438764
1.0,172,11830.095825
0.0,122,11845.649824
0.0,122,11861.093619
1.0,150,11880.41066
0.0,122,11896.014621
2.0,198,11921.1334
4.0,389,11970.270322
0.0,206,11996.550382
7.0,375,12044.144078
2.0,227,12072.80828
1.0,248,12104.164056
2.0,339,12147.166987
2.0,197,12172.048624
1.0,170,12193.54758
1.0,228,12222.350364
4.0,457,12280.052401
1.0,150,12298.948357
0.0,123,12314.230356
0.0,122,12329.624356
11.0,524,12395.493916
0.0,122,12410.774968
7.0,619,12489.483901
3.0,217,12516.702703
0.0,123,12532.328488
0.0,122,12547.969118
1.0,387,12596.324144
7.0,598,12672.45708
3.0,251,12704.292406
2.0,316,12744.282847
3.0,493,12807.103443
7.0,307,12846.140786
7.0,520,12912.374297
3.0,515,12977.304075
0.0,122,12993.046073
2.0,179,13015.840912
2.0,331,13057.618818
11.0,845,13164.885356
3.0,634,13245.068143
1.0,159,13265.086988
2.0,184,13288.388987
4.0,493,13350.645976
0.0,122,13366.251016
2.0,302,13404.265736
1.0,150,13423.446858
1.0,216,13450.770401
2.0,287,13487.084626
1.0,246,13518.57774
0.0,122,13534.012608
0.0,151,13553.227316
3.0,630,13633.171931
2.0,298,13670.80378
2.0,304,13709.615672
2.0,674,13794.898345
3.0,334,13837.052375
1.0,150,13855.998423
4.0,337,13898.506218
3.0,553,13968.676
2.0,396,14018.903806
3.0,380,14066.739497
1.0,465,14125.325374
2.0,199,14150.610153
0.0,356,14195.553084
0.0,127,14211.518167
1.0,183,14234.529145
0.0,241,14264.987856
0.0,122,14280.192821
1.0,215,14307.148795
1.0,162,14327.624787
3.0,274,14362.079802
3.0,295,14398.973384
0.0,122,14414.1385
0.0,204,14439.66224
2.0,344,14483.097394
3.0,357,14528.219553
4.0,310,14567.120292
3.0,317,14607.274863
3.0,210,14633.582796
2.0,197,14658.392726
2.0,267,14692.142931
0.0,122,14707.336048
4.0,370,14754.031282
3.0,276,14788.821656
2.0,199,14813.94475
3.0,268,14847.688719
0.0,122,14863.047896
0.0,122,14878.590039
0.0,122,14893.899167
3.0,286,14929.985835
0.0,122,14945.26475
0.0,122,14960.5069
0.0,123,14975.762851
0.0,122,14991.482005
1.0,205,15017.187613
3.0,339,15059.814945
2.0,197,15084.593767
4.0,343,15127.852772
0.0,159,15147.989849
1.0,444,15204.043
0.0,123,15219.376129
2.0,197,15244.533618
2.0,192,15268.671816
1.0,312,15308.415322
5.0,281,15343.76369
3.0,387,15393.15545
2.0,220,15420.931907
7.0,565,15492.414542
3.0,289,15528.610397
2.0,186,15552.198376
2.0,247,15583.411075
1.0,229,15612.468242
3.0,392,15662.051971
0.0,222,15690.112411
7.0,522,15756.464586
1.0,351,15800.719676
